Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
1,-0.000000,1.600000,4.298837,522.250000,319.000000,850.000000,0.250000,413.000000,319.000000,558.000000,0.000000,0.250000,1.500000,0.500000,1.000000,0.850000,3.065398
2,-0.000000,-7.000000,10.099504,676.000000,479.000000,850.000000,0.500000,502.000000,479.000000,525.000000,0.000000,-1.250000,1.500000,-5.250000,9.878428,-0.500000,1.000000
3,0.000002,-5.400000,11.371308,555.250000,337.000000,850.000000,0.250000,457.000000,337.000000,624.000000,0.001629,-0.500000,1.732051,-4.750000,10.210289,-0.150000,1.398809
4,0.000023,1.650000,4.385962,722.000000,494.000000,850.000000,0.250000,679.333374,494.000000,832.000000,0.023117,0.250000,1.500000,0.500000,1.000000,0.900000,3.160169
5,0.000146,0.000000,2.449490,740.250000,413.000000,850.000000,0.500000,630.500000,413.000000,848.000000,0.145891,0.250000,1.500000,0.500000,1.000000,-0.750000,1.500000
6,0.000701,-0.700000,4.600000,626.250000,310.000000,850.000000,0.500000,402.500000,310.000000,495.000000,0.701149,-1.250000,1.500000,-0.500000,1.000000,1.050000,2.100000
7,0.001379,2.750000,5.152022,522.500000,276.000000,850.000000,0.250000,413.333344,276.000000,551.000000,1.378505,0.250000,1.500000,0.500000,1.000000,2.000000,3.691432
8,0.000856,-1.100000,26.108236,649.250000,289.000000,850.000000,0.500000,448.500000,289.000000,608.000000,0.856263,-0.500000,1.732051,-9.500000,12.124355,8.900000,14.312233
9,0.001220,-2.250000,14.150971,572.500000,290.000000,850.000000,0.500000,295.000000,290.000000,300.000000,1.220453,-0.500000,1.732051,-4.750000,10.210289,3.000000,3.464102
10,0.000190,-7.000000,10.099504,815.000000,710.000000,850.000000,0.750000,710.000000,710.000000,710.000000,0.190078,-1.250000,1.500000,-5.250000,9.878428,-0.500000,1.000000
11,0.000282,-2.250000,1.500000,785.500000,592.000000,850.000000,0.750000,592.000000,592.000000,592.000000,0.281709,-1.250000,1.500000,-0.500000,1.000000,-0.500000,1.000000
12,0.000653,6.700000,3.000000,283.500000,262.000000,328.000000,0.000000,283.500000,262.000000,328.000000,0.652989,1.000000,0.000000,1.000000,0.000000,4.700000,3.000000
13,0.001860,11.050000,26.130632,412.000000,226.000000,850.000000,0.250000,266.000000,226.000000,319.000000,1.859871,0.250000,1.500000,-4.250000,10.500000,15.050000,17.262966
14,0.001702,13.400000,12.400000,438.250000,252.000000,816.000000,0.000000,438.250000,252.000000,816.000000,1.701726,1.000000,0.000000,1.000000,0.000000,11.400000,12.400001
15,0.001794,2.000000,2.576820,407.250000,257.000000,766.000000,0.000000,407.250000,257.000000,766.000000,1.794006,1.000000,0.000000,1.000000,0.000000,0.000000,2.576820
16,0.000570,1.950000,1.300000,255.500000,237.000000,281.000000,0.000000,255.500000,237.000000,281.000000,0.569755,1.000000,0.000000,1.000000,0.000000,-0.050000,1.300000
17,0.000539,-3.550000,13.183197,256.250000,221.000000,284.000000,0.000000,256.250000,221.000000,284.000000,0.539465,-0.500000,1.732051,-4.750000,10.210289,1.700000,3.268027
18,0.001738,10.100000,14.624637,325.750000,206.000000,554.000000,0.000000,325.750000,206.000000,554.000000,1.737662,1.000000,0.000000,1.000000,0.000000,8.100000,14.624637
19,0.001230,4.100000,4.734272,293.750000,245.000000,373.000000,0.000000,293.750000,245.000000,373.000000,1.229573,0.500000,1.000000,1.000000,0.000000,2.600000,4.236351
20,0.000511,4.600000,4.075946,227.000000,208.000000,246.000000,0.000000,227.000000,208.000000,246.000000,0.510625,1.000000,0.000000,1.000000,0.000000,2.600000,4.075946
21,0.000792,8.200000,0.000000,232.500000,195.000000,272.000000,0.000000,232.500000,195.000000,272.000000,0.791645,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
22,0.000410,6.100000,2.200000,236.000000,216.000000,254.000000,0.000000,236.000000,216.000000,254.000000,0.410312,1.000000,0.000000,1.000000,0.000000,4.100000,2.200000
23,0.000536,2.200000,6.004443,219.250000,207.000000,243.000000,0.000000,219.250000,207.000000,243.000000,0.536220,-0.500000,1.732051,0.000000,1.154701,2.700000,3.117692
24,0.000650,3.800000,4.387862,221.250000,181.000000,251.000000,0.000000,221.250000,181.000000,251.000000,0.650415,0.500000,1.000000,1.000000,0.000000,2.300000,3.897007
25,0.000433,6.150000,2.500000,233.250000,223.000000,251.000000,0.000000,233.250000,223.000000,251.000000,0.433544,1.000000,0.000000,1.000000,0.000000,4.150000,2.500000
26,0.001075,4.250000,3.746554,225.500000,178.000000,273.000000,0.000000,225.500000,178.000000,273.000000,1.074851,0.500000,1.000000,1.000000,0.000000,2.750000,3.061046
